Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b3.txt,1862,560,590,244,19,1,39
0105.b3.txt,1385,861,760,397,7,0,8
0122.b3.txt,1390,793,597,263,14,2,14
0130.b3.txt,1576,760,693,426,11,5,12
0133.b3.txt,1305,769,559,359,38,4,19
0134.b3.txt,1562,941,807,813,11,0,10
0139.b3.txt,1964,838,838,363,10,1,8
0140.b3.txt,2700,648,580,278,5,0,2
0165.b3.txt,1723,653,630,249,43,0,21
0171.b3.txt,1623,789,815,313,11,0,19
0200.b3.txt,1786,784,843,425,9,0,4
0300.b3.txt,1593,844,804,293,23,1,14
0303.b3.txt,1512,767,813,429,2,0,1
0304.b3.txt,1699,835,612,439,6,4,9
0307.b3.txt,1616,737,770,231,12,4,20
0308.b3.txt,1765,902,844,705,4,1,4
0310.b3.txt,1750,719,805,563,22,6,11
0313.b3.txt,1719,546,770,279,5,2,13
1023.b3.txt,1256,724,769,449,8,0,7
1057.b3.txt,1805,949,649,367,19,1,15
1066.b3.txt,1706,885,959,429,9,0,8
1069.b3.txt,1460,706,653,397,36,1,24
1082.b3.txt,2104,675,886,318,13,2,17
1097.b3.txt,1586,837,905,530,13,1,10
1100.b3.txt,1622,746,659,304,15,2,4
1102.b3.txt,1681,708,922,435,4,4,4
1112.b3.txt,1591,889,824,460,8,0,9
1508.b3.txt,1532,866,652,314,18,1,19
1520.b3.txt,1174,775,530,285,20,1,29
1532.b3.txt,1626,847,664,366,16,3,19
1533.b3.txt,1710,893,707,340,8,0,15
1534.b3.txt,1701,833,972,500,13,0,9
1536.b3.txt,1823,745,681,466,13,3,6
2018.b3.txt,1793,1030,675,297,11,0,13
2034.b3.txt,1421,1142,605,395,14,0,11
