Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0100.a1.txt,1533,1224,802,534,0,0,0
0101.a1.txt,1167,1242,590,841,1,0,0
0102.a1.txt,1485,1198,683,479,1,0,0
0103.a1.txt,1098,1364,599,576,1,0,1
0104.a1.txt,1321,1198,568,679,0,1,2
0105.a1.txt,1252,1400,620,644,2,0,2
0106.a1.txt,1541,1295,838,875,1,0,0
0107.a1.txt,1212,1448,891,613,0,0,0
0108.a1.txt,1248,1327,447,631,1,0,0
0109.a1.txt,1295,1354,712,677,0,0,0
0110.a1.txt,1438,1399,834,668,1,0,0
0111.a1.txt,1432,1382,704,716,0,0,1
0112.a1.txt,1314,1278,789,681,0,0,1
0113.a1.txt,1350,1281,735,895,0,0,2
0114.a1.txt,1197,1532,618,914,0,0,0
0115.a1.txt,1378,1155,814,801,0,0,1
0116.a1.txt,1338,1426,632,853,0,0,0
0118.a1.txt,1304,1318,632,659,0,0,1
0119.a1.txt,1272,1385,793,730,0,0,0
0120.a1.txt,1294,1475,673,828,3,0,0
0121.a1.txt,1387,1367,704,633,0,0,2
0122.a1.txt,1549,1400,694,706,0,0,1
0123.a1.txt,1245,1360,597,775,1,0,0
0124.a1.txt,1632,1069,739,595,0,3,3
0125.a1.txt,1829,1114,844,586,0,1,0
0127.a1.txt,1141,1427,611,856,0,0,0
0128.a1.txt,1363,1217,645,730,0,0,0
0130.a1.txt,1401,1131,874,681,1,0,1
0131.a1.txt,1374,1479,785,510,0,0,0
0133.a1.txt,1108,1371,560,822,0,0,0
0134.a1.txt,1356,1247,726,1162,0,0,0
0135.a1.txt,1551,903,846,649,0,0,4
0136.a1.txt,1492,1209,554,655,0,1,0
0137.a1.txt,1110,1234,823,848,0,0,2
0138.a1.txt,1371,1273,759,722,1,0,0
0139.a1.txt,1079,1574,533,685,0,0,0
0140.a1.txt,1458,1315,795,510,5,0,0
0142.a1.txt,1577,1307,768,337,0,0,3
0143.a1.txt,1436,1287,668,705,1,0,1
0144.a1.txt,1125,1253,678,793,1,0,3
0145.a1.txt,1602,1181,675,735,0,0,0
0146.a1.txt,1171,1544,566,644,0,0,0
0148.a1.txt,1382,1199,913,704,0,0,0
0149.a1.txt,1244,1244,739,739,1,0,0
0151.a1.txt,968,1578,531,743,1,0,0
0152.a1.txt,1389,1258,733,678,0,0,0
0155.a1.txt,1028,1554,734,820,0,0,0
0156.a1.txt,968,1485,637,756,1,0,0
0157.a1.txt,1131,1572,543,486,0,0,0
0158.a1.txt,1181,1523,633,646,0,0,0
0159.a1.txt,1088,1378,568,738,0,0,1
0161.a1.txt,1494,1203,886,468,0,0,0
0162.a1.txt,1210,1259,660,611,0,0,1
0163.a1.txt,1357,1124,568,956,0,0,0
0164.a1.txt,1623,1186,699,574,0,0,0
0165.a1.txt,1473,1107,676,554,1,0,0
0167.a1.txt,1268,1173,634,941,1,0,2
0168.a1.txt,1388,1338,588,875,0,0,0
0169.a1.txt,1396,1324,662,554,0,0,2
0171.a1.txt,1387,1351,611,705,0,1,1
0172.a1.txt,1320,1142,761,711,12,0,0
0173.a1.txt,1315,1255,731,609,4,0,3
0174.a1.txt,1389,1570,592,519,2,0,0
0175.a1.txt,1106,1407,628,754,0,0,1
0176.a1.txt,1408,1243,649,682,0,0,1
0177.a1.txt,1010,1370,697,625,1,0,0
0178.a1.txt,1275,1073,678,860,0,0,1
0179.a1.txt,1192,1425,544,557,0,0,0
0180.a1.txt,1252,1452,688,738,0,0,3
0182.a1.txt,1603,1357,655,626,5,0,1
0185.a1.txt,1549,1066,743,533,1,0,1
0186.a1.txt,1234,1448,479,793,2,0,1
0187.a1.txt,1299,1429,753,753,0,0,1
0188.a1.txt,1138,1297,649,673,1,0,2
0189.a1.txt,1186,1298,626,523,1,0,1
0190.a1.txt,1190,1464,588,523,1,1,1
0191.a1.txt,1257,1365,754,683,0,0,2
0192.a1.txt,935,1360,712,691,0,0,1
0193.a1.txt,1213,1458,787,542,0,1,1
0194.a1.txt,1110,1470,791,689,1,0,1
0195.a1.txt,1255,1501,640,578,0,0,0
0196.a1.txt,1234,1280,731,594,6,0,0
0197.a1.txt,1405,1281,672,572,0,0,0
0198.a1.txt,1317,1402,609,496,2,0,1
0199.a1.txt,1389,1465,522,701,5,0,0
0200.a1.txt,1261,1321,775,705,3,1,1
0201.a1.txt,1080,1417,607,688,2,0,0
0202.a1.txt,1503,1172,627,568,0,0,1
0203.a1.txt,1488,1253,626,503,4,0,1
0204.a1.txt,1467,1112,611,513,1,0,1
0205.a1.txt,1262,1462,709,642,2,0,0
0206.a1.txt,1068,1300,592,579,0,0,2
0207.a1.txt,1215,1443,595,557,1,0,0
0208.a1.txt,1427,1142,821,642,2,0,2
0209.a1.txt,1309,1172,599,574,1,0,3
0212.a1.txt,1336,1074,649,811,0,0,0
0213.a1.txt,1401,1401,828,548,0,0,2
0214.a1.txt,1169,1265,585,823,1,0,0
0215.a1.txt,1226,1190,442,595,10,1,10
0216.a1.txt,1364,1301,694,341,1,0,1
0217.a1.txt,1175,1215,841,587,0,0,0
0218.a1.txt,1404,1453,714,448,0,0,0
0219.a1.txt,1458,1157,699,627,0,0,0
0221.a1.txt,1308,1409,667,616,1,1,3
0222.a1.txt,1433,1366,742,489,0,0,1
0223.a1.txt,1309,1195,808,614,0,0,0
0224.a1.txt,1221,1208,636,623,1,0,1
0226.a1.txt,1468,1130,896,688,0,0,0
0227.a1.txt,1322,1405,685,602,1,0,1
0232.a1.txt,1348,1322,680,781,4,0,1
0233.a1.txt,1284,1153,786,564,0,0,1
